18417756,Secondary school,5011527,Acland Burghley School,,Acland Burghley School,93,Burghley Road,NW5 1UJ,020 7485 8515,020 7284 3462,,,http://www.aclandburghley.camden.sch.uk,,,529021.000000000000000,185913.000000000000000,,,,
18417757,Secondary school,5090615,Camden School For Girls,,Camden School For Girls,,Sandall Road,NW5 2DB,020 7485 3414,020 7284 3361,,,http://www.camdengirls.camden.sch.uk,,,529475.000000000000000,184658.000000000000000,,,,
18417758,Secondary school,5090721,La Sainte Union Catholic Secondary School,,La Sainte Union Convent School,,Highgate Road,NW5 1RP,020 7428 4600,020 7267 7647,,,http://www.lsu.camden.sch.uk/,,,528486.000000000000000,186248.000000000000000,,,,
18417759,Secondary school,5109912,William Ellis School,,William Ellis School,,Highgate Road,NW5 1RN,020 7267 9346,020 7284 1274,,,http://www.williamellis.camden.sch.uk,,School hours 7.30am-4.30pm, visits by appointment only.,528288.000000000000000,186073.000000000000000,,,,
18417760,Secondary school,5090623,Hampstead School,,Hampstead School,,Westbere Road,NW2 3RT,020 7794 8133,020 7435 8260,,,http://www.hampsteadschool.org.uk,,Mon-Fri 8am-4.30pm in term time.,524398.000000000000000,185604.000000000000000,,,,
18417761,Secondary school,5110164,Maria Fidelis Convent School Lower School,,Maria Fidelis School,2-10,North Gower Street,NW1 2LY,020 7387 2359,020 7383 0783,,,http://www.mariafidelis.camden.sch.uk,,,529290.000000000000000,182638.000000000000000,,,,
18417762,Secondary school,5090679,Haverstock School,,Haverstock School,,Crogsland Road,NW1 8AS,020 7267 0975,020 7267 3807,,,http://www.haverstock.camden.sch.uk,,Mon-Fri 9am-6pm in term time, school office is open from 9amñ3pm most school holiday days.,528148.000000000000000,184515.000000000000000,,,
18417764,Secondary school,5090652,Regent High School,,South Camden Community School,,Charrington Street,NW1 1RG,020 7387 0126,020 7387 0739,,,http://www.regenthighschool.org.uk,,Mon-Fri 8.30am-4.30pm.,529569.000000000000000,183290.000000000000000,,,,
18417765,Secondary school,5009375,Maria Fidelis Convent School Upper School,,Maria Fidelis Convent School,34,Phoenix Road,NW1 1TA,020 7387 3856,020 7388 9558,,,http://www.mariafidelis.camden.sch.uk,,,529682.000000000000000,182924.000000000000000,,,,
18417766,Secondary school,5109911,Parliament Hill School,,Parliament Hill School,,Highgate Road,NW5 1RL,020 7485 7077,020 7485 9524,,,http://www.parliamenthill.camden.sch.uk,,,528350.000000000000000,185993.000000000000000,,,,
